Node1,relation,Node2
x9,State_of,Reactor
x53,State_of,Reactor
x11,State_of,Separator
x12,State_of,Separator
x13,State_of,Separator
x15,State_of,Stripper
x16,State_of,Stripper
x18,State_of,Stripper
x20,State_of,Compressor
x1,State_of,Stream 1
x44,State_of,Stream 1
x2,State_of,Stream 2
x42,State_of,Stream 2
x3,State_of,Stream 3
x43,State_of,Stream 3
x4,State_of,Stream 4
x45,State_of,Stream 4
x6,State_of,Stream 6
x23,State_of,Stream 6
x24,State_of,Stream 6
x25,State_of,Stream 6
x26,State_of,Stream 6
x27,State_of,Stream 6
x28,State_of,Stream 6
x5,State_of,Stream 8
x10,State_of,Stream 9
x47,State_of,Stream 9
x29,State_of,Stream 9
x30,State_of,Stream 9
x31,State_of,Stream 9
x32,State_of,Stream 9
x33,State_of,Stream 9
x34,State_of,Stream 9
x35,State_of,Stream 9
x36,State_of,Stream 9
x14,State_of,Stream 10
x48,State_of,Stream 10
x17,State_of,Stream 11
x49,State_of,Stream 11
x37,State_of,Stream 11
x38,State_of,Stream 11
x39,State_of,Stream 11
x40,State_of,Stream 11
x41,State_of,Stream 11
x21,State_of,Stream 12
x51,State_of,Stream 12
x52,State_of,Stream 13
A,Generate,G
C,Generate,G
D,Generate,G
A,Generate,H
C,Generate,H
E,Generate,H
A,Generate,F
E,Generate,F
D,Generate,F
G,Generated_from,A
G,Generated_from,C
G,Generated_from,D
H,Generated_from,A
H,Generated_from,C
H,Generated_from,E
F,Generated_from,A
F,Generated_from,E
F,Generated_from,D
A,Contained_by,x1
A,Contained_by,x44
A,Contained_by,Stream 1
D,Contained_by,x2
D,Contained_by,x42
D,Contained_by,Stream 2
E,Contained_by,x3
E,Contained_by,x43
E,Contained_by,Stream 3
A,Contained_by,x4
A,Contained_by,x45
A,Contained_by,Stream 4
B,Contained_by,x4
B,Contained_by,x45
B,Contained_by,Stream 4
C,Contained_by,x4
C,Contained_by,x45
C,Contained_by,Stream 4
A,Contained_by,x23
B,Contained_by,x24
C,Contained_by,x25
D,Contained_by,x26
E,Contained_by,x27
F,Contained_by,x28
A,Contained_by,x29
B,Contained_by,x30
C,Contained_by,x31
D,Contained_by,x32
E,Contained_by,x33
F,Contained_by,x34
G,Contained_by,x35
H,Contained_by,x36
D,Contained_by,x37
E,Contained_by,x38
F,Contained_by,x39
G,Contained_by,x40
H,Contained_by,x41
A,Contained_by,Stream 6
B,Contained_by,Stream 6
C,Contained_by,Stream 6
D,Contained_by,Stream 6
E,Contained_by,Stream 6
F,Contained_by,Stream 6
A,Contained_by,Stream 9
B,Contained_by,Stream 9
C,Contained_by,Stream 9
D,Contained_by,Stream 9
E,Contained_by,Stream 9
F,Contained_by,Stream 9
G,Contained_by,Stream 9
H,Contained_by,Stream 9
D,Contained_by,Stream 11
E,Contained_by,Stream 11
F,Contained_by,Stream 11
G,Contained_by,Stream 11
H,Contained_by,Stream 11
x1,Contain,A
x44,Contain,A
Stream 1,Contain,A
x2,Contain,D
x42,Contain,D
Stream 2,Contain,D
x3,Contain,E
x43,Contain,E
Stream 3,Contain,E
x4,Contain,A
x45,Contain,A
Stream 4,Contain,A
x4,Contain,B
x45,Contain,B
Stream 4,Contain,B
x4,Contain,C
x45,Contain,C
Stream 4,Contain,C
x23,Contain,A
x24,Contain,B
x25,Contain,C
x26,Contain,D
x27,Contain,E
x28,Contain,F
x29,Contain,A
x30,Contain,B
x31,Contain,C
x32,Contain,D
x33,Contain,E
x34,Contain,F
x35,Contain,G
x36,Contain,H
x37,Contain,D
x38,Contain,E
x39,Contain,F
x40,Contain,G
x41,Contain,H
Stream 6,Contain,A
Stream 6,Contain,B
Stream 6,Contain,C
Stream 6,Contain,D
Stream 6,Contain,E
Stream 6,Contain,F
Stream 9,Contain,A
Stream 9,Contain,B
Stream 9,Contain,C
Stream 9,Contain,D
Stream 9,Contain,E
Stream 9,Contain,F
Stream 9,Contain,G
Stream 9,Contain,H
Stream 11,Contain,D
Stream 11,Contain,E
Stream 11,Contain,F
Stream 11,Contain,G
Stream 11,Contain,H
